Number,Precinct,Gender,Race,Age,Bias Motivation 
1,5,Male,White,29,Anti-male homosexual (Gay)
2,6,Male,White,47,Anti-Islam (Muslim)
3,9,Male,Black,42,Anti-Islam (Muslim)
4,14,Male,Black,20,Anti-Transgender
5,18,Male,White,43,Anti-other religion
6,23,Male,White,48,Anti-Black
7,32,Male,White,45,Anti-Mormon
8,33,Male,Black,31,Anti-male homosexual (Gay)
9,33,Male,Black,31,Anti-male homosexual (Gay)
10,33,Male,White,42,Anti-Jewish
11,33,Male,White,42,Anti-Jewish
12,34,Male,Black,40,Anti-male homosexual (Gay)
13,34,Male,White,42,Anti-Jewish
14,34,Male,White,42,Anti-Jewish
15,40,Female,Black,28,Anti-physical disability
16,40,Male,White,53,Anti-Hispanic
17,60,Male,White,41,Anti-Asian
18,63,Male,Black,39,Anti-White
19,63,Male,Black,39,Anti-White
20,66,Male,Black,51,Anti-Jewish
21,68,Male,White,36,Anti-Black
22,71,Male,Black,42,Anti-other ethnicity
23,71,Male,Black,39,Anti-White
24,72,Male,Black,59,Anti-male homosexual (Gay)
25,75,Male,Black,20,Anti-Black
26,79,Male,Black,72,Anti-male homosexual (Gay)
27,81,Male,Black,39,Anti-Islam (Muslim)
28,84,Male,Black,39,Anti-White
29,90,Male,White,25,Anti-male homosexual (Gay)
30,90,Male,White,25,Anti-male homosexual (Gay)
31,106,Female,White,27,Anti-other ethnicity
32,110,Male,White,22,Anti-Transgender
33,122,Male,White,33,Anti-asian
34,122,Male,White,26,Anti-Black
